sensor_id,timestamp,data
SEN_001,2024-01-01,"{""energy_kwh"": 850.19, ""location"": ""Factory_B""}"
SEN_002,2024-01-01,"{""energy_kwh"": 829.79, ""location"": ""Building_A_Floor1""}"
SEN_003,2024-01-01,"{""energy_kwh"": 911.66, ""location"": ""Building_B_Floor2""}"
SEN_004,2024-01-01,"{""energy_kwh"": 893.51, ""location"": ""Building_A_Floor2""}"
SEN_005,2024-01-01,"{""energy_kwh"": 1221.37, ""location"": ""Building_B_Floor1""}"
SEN_006,2024-01-01,"{""energy_kwh"": 437.61, ""location"": ""Building_C_Rooftop""}"
SEN_007,2024-01-01,"{""energy_kwh"": 1159.41, ""location"": ""Building_A_Floor2""}"
SEN_008,2024-01-01,"{""energy_kwh"": 961.18, ""location"": ""Building_A_Floor1""}"
SEN_009,2024-01-01,"{""energy_kwh"": 901.52, ""location"": ""Building_B_Floor2""}"
SEN_010,2024-01-01,"{""energy_kwh"": 1122.46, ""location"": ""Building_B_Floor2""}"
SEN_001,2024-01-02,"{""energy_kwh"": 1012.54, ""location"": ""Building_A_Floor2""}"
SEN_002,2024-01-02,"{""energy_kwh"": 1093.22, ""location"": ""Factory_B""}"
SEN_003,2024-01-02,"{""energy_kwh"": 933.96, ""location"": ""Building_C_Rooftop""}"
SEN_004,2024-01-02,"{""energy_kwh"": 1239.5, ""location"": ""Office_Tower_East""}"
SEN_005,2024-01-02,"{""energy_kwh"": 1079.47, ""location"": ""Building_B_Floor1""}"
SEN_006,2024-01-02,"{""energy_kwh"": 949.19, ""location"": ""Factory_B""}"
SEN_007,2024-01-02,"{""energy_kwh"": 737.73, ""location"": ""Building_A_Floor1""}"
SEN_008,2024-01-02,"{""energy_kwh"": 1066.27, ""location"": ""Factory_B""}"
SEN_009,2024-01-02,"{""energy_kwh"": 1201.32, ""location"": ""Building_B_Floor1""}"
SEN_010,2024-01-02,"{""energy_kwh"": 1070.09, ""location"": ""Office_Tower_West""}"
SEN_001,2024-01-03,"{""energy_kwh"": 1037.18, ""location"": ""Building_C_Rooftop""}"
SEN_002,2024-01-03,"{""energy_kwh"": 93.2, ""location"": ""Building_C_Rooftop""}"
SEN_003,2024-01-03,"{""energy_kwh"": 1075.82, ""location"": ""Building_A_Floor2""}"
SEN_004,2024-01-03,"{""energy_kwh"": 1057.61, ""location"": ""Office_Tower_West""}"
SEN_005,2024-01-03,"{""energy_kwh"": 1322.49, ""location"": ""Factory_B""}"
SEN_006,2024-01-03,"{""energy_kwh"": 856.47, ""location"": ""Building_A_Floor2""}"
SEN_007,2024-01-03,"{""energy_kwh"": 1169.47, ""location"": ""Building_A_Floor2""}"
SEN_008,2024-01-03,"{""energy_kwh"": 854.77, ""location"": ""Building_C_Rooftop""}"
SEN_009,2024-01-03,"{""energy_kwh"": 1127.5, ""location"": ""Factory_A""}"
SEN_010,2024-01-03,"{""energy_kwh"": 520.25, ""location"": ""Building_A_Floor1""}"
SEN_001,2024-01-04,"{""energy_kwh"": 352.47, ""location"": ""Office_Tower_West""}"
SEN_002,2024-01-04,"{""energy_kwh"": 880.73, ""location"": ""Building_C_Rooftop""}"
SEN_003,2024-01-04,"{""energy_kwh"": 853.63, ""location"": ""Warehouse_1""}"
SEN_004,2024-01-04,"{""energy_kwh"": 1327.78, ""location"": ""Factory_B""}"
SEN_005,2024-01-04,"{""energy_kwh"": 955.13, ""location"": ""Building_A_Floor2""}"
SEN_006,2024-01-04,"{""energy_kwh"": 988.4, ""location"": ""Office_Tower_West""}"
SEN_007,2024-01-04,"{""energy_kwh"": 731.18, ""location"": ""Building_A_Floor2""}"
SEN_008,2024-01-04,"{""energy_kwh"": 250.16, ""location"": ""Building_A_Floor1""}"
SEN_009,2024-01-04,"{""energy_kwh"": 922.97, ""location"": ""Building_A_Floor2""}"
SEN_010,2024-01-04,"{""energy_kwh"": 1043.38, ""location"": ""Office_Tower_East""}"
SEN_001,2024-01-05,"{""energy_kwh"": 1015.2, ""location"": ""Building_B_Floor2""}"
SEN_002,2024-01-05,"{""energy_kwh"": 591.32, ""location"": ""Building_B_Floor2""}"
SEN_003,2024-01-05,"{""energy_kwh"": 792.01, ""location"": ""Building_B_Floor1""}"
SEN_004,2024-01-05,"{""energy_kwh"": 991.93, ""location"": ""Factory_A""}"
SEN_005,2024-01-05,"{""energy_kwh"": 1050.29, ""location"": ""Factory_B""}"
SEN_006,2024-01-05,"{""energy_kwh"": 1110.76, ""location"": ""Factory_B""}"
SEN_007,2024-01-05,"{""energy_kwh"": 1272.81, ""location"": ""Building_A_Floor1""}"
SEN_008,2024-01-05,"{""energy_kwh"": 685.91, ""location"": ""Building_B_Floor2""}"
SEN_009,2024-01-05,"{""energy_kwh"": 1373.69, ""location"": ""Building_B_Floor1""}"
SEN_010,2024-01-05,"{""energy_kwh"": 854.36, ""location"": ""Building_B_Floor1""}"
SEN_001,2024-01-06,"{""energy_kwh"": 696.24, ""location"": ""Building_A_Floor1""}"
SEN_002,2024-01-06,"{""energy_kwh"": 939.15, ""location"": ""Office_Tower_West""}"
SEN_003,2024-01-06,"{""energy_kwh"": 823.98, ""location"": ""Building_B_Floor1""}"
SEN_004,2024-01-06,"{""energy_kwh"": 1400.5, ""location"": ""Office_Tower_East""}"
SEN_005,2024-01-06,"{""energy_kwh"": 1117.27, ""location"": ""Factory_A""}"
SEN_006,2024-01-06,"{""energy_kwh"": 830.09, ""location"": ""Factory_B""}"
SEN_007,2024-01-06,"{""energy_kwh"": 204.3, ""location"": ""Warehouse_1""}"
SEN_008,2024-01-06,"{""energy_kwh"": 1332.07, ""location"": ""Building_B_Floor1""}"
SEN_009,2024-01-06,"{""energy_kwh"": 745.81, ""location"": ""Building_C_Rooftop""}"
SEN_010,2024-01-06,"{""energy_kwh"": 802.39, ""location"": ""Factory_A""}"
SEN_001,2024-01-07,"{""energy_kwh"": 801.23, ""location"": ""Office_Tower_West""}"
SEN_002,2024-01-07,"{""energy_kwh"": 817.56, ""location"": ""Building_B_Floor2""}"
SEN_003,2024-01-07,"{""energy_kwh"": 1102.97, ""location"": ""Factory_A""}"
SEN_004,2024-01-07,"{""energy_kwh"": 941.66, ""location"": ""Building_C_Rooftop""}"
SEN_005,2024-01-07,"{""energy_kwh"": 868.85, ""location"": ""Building_B_Floor1""}"
SEN_006,2024-01-07,"{""energy_kwh"": 585.04, ""location"": ""Building_B_Floor2""}"
SEN_007,2024-01-07,"{""energy_kwh"": 1118.78, ""location"": ""Building_C_Rooftop""}"
SEN_008,2024-01-07,"{""energy_kwh"": 1532.65, ""location"": ""Building_A_Floor1""}"
SEN_009,2024-01-07,"{""energy_kwh"": 1168.65, ""location"": ""Building_C_Rooftop""}"
SEN_010,2024-01-07,"{""energy_kwh"": 1164.31, ""location"": ""Factory_A""}"
SEN_001,2024-01-08,"{""energy_kwh"": 440.78, ""location"": ""Building_A_Floor1""}"
SEN_002,2024-01-08,"{""energy_kwh"": 1155.65, ""location"": ""Building_B_Floor2""}"
SEN_003,2024-01-08,"{""energy_kwh"": 654.63, ""location"": ""Office_Tower_East""}"
SEN_004,2024-01-08,"{""energy_kwh"": 920.53, ""location"": ""Factory_B""}"
SEN_005,2024-01-08,"{""energy_kwh"": 577.58, ""location"": ""Factory_B""}"
SEN_006,2024-01-08,"{""energy_kwh"": 1373.52, ""location"": ""Building_C_Rooftop""}"
SEN_007,2024-01-08,"{""energy_kwh"": 1245.26, ""location"": ""Building_C_Rooftop""}"
SEN_008,2024-01-08,"{""energy_kwh"": 787.48, ""location"": ""Factory_A""}"
SEN_009,2024-01-08,"{""energy_kwh"": 954.08, ""location"": ""Warehouse_1""}"
SEN_010,2024-01-08,"{""energy_kwh"": 978.54, ""location"": ""Office_Tower_East""}"
SEN_001,2024-01-09,"{""energy_kwh"": 1094.05, ""location"": ""Office_Tower_West""}"
SEN_002,2024-01-09,"{""energy_kwh"": 1056.31, ""location"": ""Building_A_Floor1""}"
SEN_003,2024-01-09,"{""energy_kwh"": 1202.09, ""location"": ""Building_B_Floor2""}"
SEN_004,2024-01-09,"{""energy_kwh"": 1195.06, ""location"": ""Factory_A""}"
SEN_005,2024-01-09,"{""energy_kwh"": 1061.94, ""location"": ""Warehouse_1""}"
SEN_006,2024-01-09,"{""energy_kwh"": 915.16, ""location"": ""Factory_B""}"
SEN_007,2024-01-09,"{""energy_kwh"": 1171.43, ""location"": ""Warehouse_1""}"
SEN_008,2024-01-09,"{""energy_kwh"": 667.67, ""location"": ""Office_Tower_West""}"
SEN_009,2024-01-09,"{""energy_kwh"": 1167.18, ""location"": ""Warehouse_1""}"
SEN_010,2024-01-09,"{""energy_kwh"": 987.73, ""location"": ""Building_A_Floor1""}"
SEN_001,2024-01-10,"{""energy_kwh"": 1055.03, ""location"": ""Building_B_Floor1""}"
SEN_002,2024-01-10,"{""energy_kwh"": 828.83, ""location"": ""Factory_B""}"
SEN_003,2024-01-10,"{""energy_kwh"": 750.82, ""location"": ""Office_Tower_East""}"
SEN_004,2024-01-10,"{""energy_kwh"": 772.44, ""location"": ""Building_B_Floor2""}"
SEN_005,2024-01-10,"{""energy_kwh"": 1087.83, ""location"": ""Building_B_Floor1""}"
SEN_006,2024-01-10,"{""energy_kwh"": 1172.77, ""location"": ""Office_Tower_East""}"
SEN_007,2024-01-10,"{""energy_kwh"": 1155.68, ""location"": ""Warehouse_1""}"
SEN_008,2024-01-10,"{""energy_kwh"": 1198.65, ""location"": ""Building_A_Floor1""}"
SEN_009,2024-01-10,"{""energy_kwh"": 686.03, ""location"": ""Office_Tower_West""}"
SEN_010,2024-01-10,"{""energy_kwh"": 997.26, ""location"": ""Building_C_Rooftop""}"
SEN_001,2024-01-11,"{""energy_kwh"": 906.69, ""location"": ""Office_Tower_East""}"
SEN_002,2024-01-11,"{""energy_kwh"": 869.7, ""location"": ""Factory_A""}"
SEN_003,2024-01-11,"{""energy_kwh"": 1111.57, ""location"": ""Building_A_Floor1""}"
SEN_004,2024-01-11,"{""energy_kwh"": 1096.84, ""location"": ""Factory_B""}"
SEN_005,2024-01-11,"{""energy_kwh"": 831.46, ""location"": ""Office_Tower_East""}"
SEN_006,2024-01-11,"{""energy_kwh"": 1196.03, ""location"": ""Factory_B""}"
SEN_007,2024-01-11,"{""energy_kwh"": 645.96, ""location"": ""Building_A_Floor1""}"
SEN_008,2024-01-11,"{""energy_kwh"": 1113.33, ""location"": ""Building_A_Floor2""}"
SEN_009,2024-01-11,"{""energy_kwh"": 383.27, ""location"": ""Building_A_Floor2""}"
SEN_010,2024-01-11,"{""energy_kwh"": 1466.29, ""location"": ""Building_C_Rooftop""}"
SEN_001,2024-01-12,"{""energy_kwh"": 912.99, ""location"": ""Office_Tower_West""}"
SEN_002,2024-01-12,"{""energy_kwh"": 1178.43, ""location"": ""Building_A_Floor1""}"
SEN_003,2024-01-12,"{""energy_kwh"": 911.12, ""location"": ""Building_B_Floor1""}"
SEN_004,2024-01-12,"{""energy_kwh"": 936.33, ""location"": ""Warehouse_1""}"
SEN_005,2024-01-12,"{""energy_kwh"": 1060.55, ""location"": ""Building_B_Floor2""}"
SEN_006,2024-01-12,"{""energy_kwh"": 1206.72, ""location"": ""Factory_B""}"
SEN_007,2024-01-12,"{""energy_kwh"": 927.39, ""location"": ""Building_C_Rooftop""}"
SEN_008,2024-01-12,"{""energy_kwh"": 794.72, ""location"": ""Office_Tower_West""}"
SEN_009,2024-01-12,"{""energy_kwh"": 895.13, ""location"": ""Warehouse_1""}"
SEN_010,2024-01-12,"{""energy_kwh"": 1004.86, ""location"": ""Building_B_Floor2""}"
SEN_001,2024-01-13,"{""energy_kwh"": 907.14, ""location"": ""Office_Tower_East""}"
SEN_002,2024-01-13,"{""energy_kwh"": 1078.28, ""location"": ""Office_Tower_East""}"
SEN_003,2024-01-13,"{""energy_kwh"": 1026.61, ""location"": ""Warehouse_1""}"
SEN_004,2024-01-13,"{""energy_kwh"": 959.9, ""location"": ""Building_A_Floor2""}"
SEN_005,2024-01-13,"{""energy_kwh"": 268.06, ""location"": ""Building_B_Floor2""}"
SEN_006,2024-01-13,"{""energy_kwh"": 686.19, ""location"": ""Factory_A""}"
SEN_007,2024-01-13,"{""energy_kwh"": 869.52, ""location"": ""Building_A_Floor1""}"
SEN_008,2024-01-13,"{""energy_kwh"": 867.57, ""location"": ""Factory_B""}"
SEN_009,2024-01-13,"{""energy_kwh"": 1176.94, ""location"": ""Building_C_Rooftop""}"
SEN_010,2024-01-13,"{""energy_kwh"": 1105.03, ""location"": ""Factory_A""}"
SEN_001,2024-01-14,"{""energy_kwh"": 1006.0, ""location"": ""Office_Tower_East""}"
SEN_002,2024-01-14,"{""energy_kwh"": 1070.34, ""location"": ""Warehouse_1""}"
SEN_003,2024-01-14,"{""energy_kwh"": 1279.14, ""location"": ""Factory_A""}"
SEN_004,2024-01-14,"{""energy_kwh"": 839.06, ""location"": ""Office_Tower_West""}"
SEN_005,2024-01-14,"{""energy_kwh"": 848.6, ""location"": ""Office_Tower_West""}"
SEN_006,2024-01-14,"{""energy_kwh"": 1141.72, ""location"": ""Factory_B""}"
SEN_007,2024-01-14,"{""energy_kwh"": 1027.34, ""location"": ""Building_C_Rooftop""}"
SEN_008,2024-01-14,"{""energy_kwh"": 1566.45, ""location"": ""Factory_B""}"
SEN_009,2024-01-14,"{""energy_kwh"": 853.38, ""location"": ""Factory_A""}"
SEN_010,2024-01-14,"{""energy_kwh"": 915.75, ""location"": ""Building_B_Floor1""}"
SEN_001,2024-01-15,"{""energy_kwh"": 1083.64, ""location"": ""Warehouse_1""}"
SEN_002,2024-01-15,"{""energy_kwh"": 971.49, ""location"": ""Building_A_Floor1""}"
SEN_003,2024-01-15,"{""energy_kwh"": 1030.64, ""location"": ""Building_B_Floor1""}"
SEN_004,2024-01-15,"{""energy_kwh"": 1276.78, ""location"": ""Building_A_Floor2""}"
SEN_005,2024-01-15,"{""energy_kwh"": 917.28, ""location"": ""Building_C_Rooftop""}"
SEN_006,2024-01-15,"{""energy_kwh"": 1189.79, ""location"": ""Building_B_Floor1""}"
SEN_007,2024-01-15,"{""energy_kwh"": 1074.45, ""location"": ""Building_B_Floor1""}"
SEN_008,2024-01-15,"{""energy_kwh"": 1027.89, ""location"": ""Building_C_Rooftop""}"
SEN_009,2024-01-15,"{""energy_kwh"": 870.66, ""location"": ""Building_C_Rooftop""}"
SEN_010,2024-01-15,"{""energy_kwh"": 367.44, ""location"": ""Building_C_Rooftop""}"
SEN_001,2024-01-16,"{""energy_kwh"": 1019.18, ""location"": ""Building_C_Rooftop""}"
SEN_002,2024-01-16,"{""energy_kwh"": 896.64, ""location"": ""Building_B_Floor1""}"
SEN_003,2024-01-16,"{""energy_kwh"": 1129.1, ""location"": ""Warehouse_1""}"
SEN_004,2024-01-16,"{""energy_kwh"": 882.69, ""location"": ""Office_Tower_West""}"
SEN_005,2024-01-16,"{""energy_kwh"": 729.47, ""location"": ""Building_B_Floor2""}"
SEN_006,2024-01-16,"{""energy_kwh"": 1161.31, ""location"": ""Office_Tower_West""}"
SEN_007,2024-01-16,"{""energy_kwh"": 863.51, ""location"": ""Building_B_Floor1""}"
SEN_008,2024-01-16,"{""energy_kwh"": 802.35, ""location"": ""Building_C_Rooftop""}"
SEN_009,2024-01-16,"{""energy_kwh"": 1154.14, ""location"": ""Building_B_Floor1""}"
SEN_010,2024-01-16,"{""energy_kwh"": 646.62, ""location"": ""Building_C_Rooftop""}"
SEN_001,2024-01-17,"{""energy_kwh"": 688.89, ""location"": ""Factory_A""}"
SEN_002,2024-01-17,"{""energy_kwh"": 942.6, ""location"": ""Factory_A""}"
SEN_003,2024-01-17,"{""energy_kwh"": 802.74, ""location"": ""Warehouse_1""}"
SEN_004,2024-01-17,"{""energy_kwh"": 1072.01, ""location"": ""Factory_A""}"
SEN_005,2024-01-17,"{""energy_kwh"": 1202.38, ""location"": ""Building_C_Rooftop""}"
SEN_006,2024-01-17,"{""energy_kwh"": 841.84, ""location"": ""Office_Tower_West""}"
SEN_007,2024-01-17,"{""energy_kwh"": 1047.59, ""location"": ""Office_Tower_East""}"
SEN_008,2024-01-17,"{""energy_kwh"": 866.91, ""location"": ""Warehouse_1""}"
SEN_009,2024-01-17,"{""energy_kwh"": 783.65, ""location"": ""Factory_A""}"
SEN_010,2024-01-17,"{""energy_kwh"": 984.53, ""location"": ""Building_B_Floor1""}"
SEN_001,2024-01-18,"{""energy_kwh"": 851.42, ""location"": ""Building_A_Floor2""}"
SEN_002,2024-01-18,"{""energy_kwh"": 1217.46, ""location"": ""Office_Tower_East""}"
SEN_003,2024-01-18,"{""energy_kwh"": 866.59, ""location"": ""Factory_B""}"
SEN_004,2024-01-18,"{""energy_kwh"": 985.37, ""location"": ""Office_Tower_East""}"
SEN_005,2024-01-18,"{""energy_kwh"": 1164.09, ""location"": ""Office_Tower_West""}"
SEN_006,2024-01-18,"{""energy_kwh"": 1017.88, ""location"": ""Building_A_Floor1""}"
SEN_007,2024-01-18,"{""energy_kwh"": 346.37, ""location"": ""Factory_B""}"
SEN_008,2024-01-18,"{""energy_kwh"": 863.73, ""location"": ""Factory_B""}"
SEN_009,2024-01-18,"{""energy_kwh"": 1031.82, ""location"": ""Office_Tower_West""}"
SEN_010,2024-01-18,"{""energy_kwh"": 1105.44, ""location"": ""Factory_A""}"
SEN_001,2024-01-19,"{""energy_kwh"": 1227.82, ""location"": ""Building_A_Floor1""}"
SEN_002,2024-01-19,"{""energy_kwh"": 1148.3, ""location"": ""Building_B_Floor2""}"
SEN_003,2024-01-19,"{""energy_kwh"": 996.25, ""location"": ""Building_B_Floor1""}"
SEN_004,2024-01-19,"{""energy_kwh"": 883.43, ""location"": ""Warehouse_1""}"
SEN_005,2024-01-19,"{""energy_kwh"": 1182.57, ""location"": ""Building_A_Floor2""}"
SEN_006,2024-01-19,"{""energy_kwh"": 1058.05, ""location"": ""Building_A_Floor2""}"
SEN_007,2024-01-19,"{""energy_kwh"": 498.5, ""location"": ""Factory_B""}"
SEN_008,2024-01-19,"{""energy_kwh"": 1054.37, ""location"": ""Building_A_Floor1""}"
SEN_009,2024-01-19,"{""energy_kwh"": 429.2, ""location"": ""Building_C_Rooftop""}"
SEN_010,2024-01-19,"{""energy_kwh"": 1024.54, ""location"": ""Building_A_Floor2""}"
SEN_001,2024-01-20,"{""energy_kwh"": 1096.37, ""location"": ""Office_Tower_East""}"
SEN_002,2024-01-20,"{""energy_kwh"": 1012.86, ""location"": ""Building_B_Floor1""}"
SEN_003,2024-01-20,"{""energy_kwh"": 1305.65, ""location"": ""Factory_A""}"
SEN_004,2024-01-20,"{""energy_kwh"": 1178.36, ""location"": ""Factory_A""}"
SEN_005,2024-01-20,"{""energy_kwh"": 284.36, ""location"": ""Factory_B""}"
SEN_006,2024-01-20,"{""energy_kwh"": 885.45, ""location"": ""Building_A_Floor1""}"
SEN_007,2024-01-20,"{""energy_kwh"": 1159.93, ""location"": ""Building_A_Floor1""}"
SEN_008,2024-01-20,"{""energy_kwh"": 1096.55, ""location"": ""Building_A_Floor1""}"
SEN_009,2024-01-20,"{""energy_kwh"": 1033.09, ""location"": ""Office_Tower_East""}"
SEN_010,2024-01-20,"{""energy_kwh"": 1160.41, ""location"": ""Building_C_Rooftop""}"
SEN_001,2024-01-21,"{""energy_kwh"": 604.07, ""location"": ""Building_A_Floor2""}"
SEN_002,2024-01-21,"{""energy_kwh"": 980.94, ""location"": ""Building_A_Floor2""}"
SEN_003,2024-01-21,"{""energy_kwh"": 755.21, ""location"": ""Factory_B""}"
SEN_004,2024-01-21,"{""energy_kwh"": 891.79, ""location"": ""Building_B_Floor2""}"
SEN_005,2024-01-21,"{""energy_kwh"": 988.68, ""location"": ""Building_C_Rooftop""}"
SEN_006,2024-01-21,"{""energy_kwh"": 1071.09, ""location"": ""Building_A_Floor1""}"
SEN_007,2024-01-21,"{""energy_kwh"": 1108.81, ""location"": ""Building_C_Rooftop""}"
SEN_008,2024-01-21,"{""energy_kwh"": 632.3, ""location"": ""Office_Tower_West""}"
SEN_009,2024-01-21,"{""energy_kwh"": 805.72, ""location"": ""Building_B_Floor1""}"
SEN_010,2024-01-21,"{""energy_kwh"": 904.3, ""location"": ""Building_C_Rooftop""}"
SEN_001,2024-01-22,"{""energy_kwh"": 1125.52, ""location"": ""Warehouse_1""}"
SEN_002,2024-01-22,"{""energy_kwh"": 1203.9, ""location"": ""Warehouse_1""}"
SEN_003,2024-01-22,"{""energy_kwh"": 1261.05, ""location"": ""Factory_A""}"
SEN_004,2024-01-22,"{""energy_kwh"": 1065.22, ""location"": ""Factory_B""}"
