sensor_id,type,timestamp,data
STRAIN_20240101_001,Structural Strain (A12),2024-01-01,97.17
STRAIN_20240101_002,Structural Strain (A12),2024-01-01,267.7
STRAIN_20240101_003,Structural Strain (A12),2024-01-01,185.23
STRAIN_20240101_004,Structural Strain (A12),2024-01-01,129.03
STRAIN_20240101_005,Structural Strain (A12),2024-01-01,53.32
STRAIN_20240102_001,Structural Strain (A12),2024-01-02,77.51
STRAIN_20240102_002,Structural Strain (A12),2024-01-02,248.93
STRAIN_20240102_003,Structural Strain (A12),2024-01-02,57.8
STRAIN_20240102_004,Structural Strain (A12),2024-01-02,199.24
STRAIN_20240102_005,Structural Strain (A12),2024-01-02,72.43
STRAIN_20240103_001,Structural Strain (A12),2024-01-03,72.04
STRAIN_20240103_002,Structural Strain (A12),2024-01-03,168.09
STRAIN_20240103_003,Structural Strain (A12),2024-01-03,206.69
STRAIN_20240103_004,Structural Strain (A12),2024-01-03,55.0
STRAIN_20240103_005,Structural Strain (A12),2024-01-03,81.48
STRAIN_20240104_001,Structural Strain (A12),2024-01-04,799.7
STRAIN_20240104_002,Structural Strain (A12),2024-01-04,50.98
STRAIN_20240104_003,Structural Strain (A12),2024-01-04,148.9
STRAIN_20240104_004,Structural Strain (A12),2024-01-04,183.96
STRAIN_20240104_005,Structural Strain (A12),2024-01-04,41.63
STRAIN_20240105_001,Structural Strain (A12),2024-01-05,84.78
STRAIN_20240105_002,Structural Strain (A12),2024-01-05,30.25
STRAIN_20240105_003,Structural Strain (A12),2024-01-05,46.09
STRAIN_20240105_004,Structural Strain (A12),2024-01-05,40.4
STRAIN_20240105_005,Structural Strain (A12),2024-01-05,8.54
STRAIN_20240106_001,Structural Strain (A12),2024-01-06,7.16
STRAIN_20240106_002,Structural Strain (A12),2024-01-06,29.07
STRAIN_20240106_003,Structural Strain (A12),2024-01-06,272.98
STRAIN_20240106_004,Structural Strain (A12),2024-01-06,178.23
STRAIN_20240106_005,Structural Strain (A12),2024-01-06,61.65
STRAIN_20240107_001,Structural Strain (A12),2024-01-07,167.86
STRAIN_20240107_002,Structural Strain (A12),2024-01-07,286.01
STRAIN_20240107_003,Structural Strain (A12),2024-01-07,70.51
STRAIN_20240107_004,Structural Strain (A12),2024-01-07,116.49
STRAIN_20240107_005,Structural Strain (A12),2024-01-07,202.03
STRAIN_20240108_001,Structural Strain (A12),2024-01-08,5.75
STRAIN_20240108_002,Structural Strain (A12),2024-01-08,285.27
STRAIN_20240108_003,Structural Strain (A12),2024-01-08,99.58
STRAIN_20240108_004,Structural Strain (A12),2024-01-08,81.66
STRAIN_20240108_005,Structural Strain (A12),2024-01-08,280.32
STRAIN_20240109_001,Structural Strain (A12),2024-01-09,172.45
STRAIN_20240109_002,Structural Strain (A12),2024-01-09,253.65
STRAIN_20240109_003,Structural Strain (A12),2024-01-09,13.19
STRAIN_20240109_004,Structural Strain (A12),2024-01-09,209.86
STRAIN_20240109_005,Structural Strain (A12),2024-01-09,289.04
STRAIN_20240110_001,Structural Strain (A12),2024-01-10,96.63
STRAIN_20240110_002,Structural Strain (A12),2024-01-10,161.33
STRAIN_20240110_003,Structural Strain (A12),2024-01-10,193.66
STRAIN_20240110_004,Structural Strain (A12),2024-01-10,237.86
STRAIN_20240110_005,Structural Strain (A12),2024-01-10,21.82
STRAIN_20240111_001,Structural Strain (A12),2024-01-11,201.64
STRAIN_20240111_002,Structural Strain (A12),2024-01-11,98.67
STRAIN_20240111_003,Structural Strain (A12),2024-01-11,262.61
STRAIN_20240111_004,Structural Strain (A12),2024-01-11,16.55
STRAIN_20240111_005,Structural Strain (A12),2024-01-11,102.35
STRAIN_20240112_001,Structural Strain (A12),2024-01-12,277.44
STRAIN_20240112_002,Structural Strain (A12),2024-01-12,162.04
STRAIN_20240112_003,Structural Strain (A12),2024-01-12,197.76
STRAIN_20240112_004,Structural Strain (A12),2024-01-12,270.38
STRAIN_20240112_005,Structural Strain (A12),2024-01-12,755.69
STRAIN_20240113_001,Structural Strain (A12),2024-01-13,420.79
STRAIN_20240113_002,Structural Strain (A12),2024-01-13,101.28
STRAIN_20240113_003,Structural Strain (A12),2024-01-13,202.9
STRAIN_20240113_004,Structural Strain (A12),2024-01-13,289.12
STRAIN_20240113_005,Structural Strain (A12),2024-01-13,280.72
STRAIN_20240114_001,Structural Strain (A12),2024-01-14,270.82
STRAIN_20240114_002,Structural Strain (A12),2024-01-14,82.76
STRAIN_20240114_003,Structural Strain (A12),2024-01-14,36.47
STRAIN_20240114_004,Structural Strain (A12),2024-01-14,36.72
STRAIN_20240114_005,Structural Strain (A12),2024-01-14,126.73
STRAIN_20240115_001,Structural Strain (A12),2024-01-15,218.58
STRAIN_20240115_002,Structural Strain (A12),2024-01-15,918.75
STRAIN_20240115_003,Structural Strain (A12),2024-01-15,22.95
STRAIN_20240115_004,Structural Strain (A12),2024-01-15,163.04
STRAIN_20240115_005,Structural Strain (A12),2024-01-15,284.91
STRAIN_20240116_001,Structural Strain (A12),2024-01-16,128.98
STRAIN_20240116_002,Structural Strain (A12),2024-01-16,161.25
STRAIN_20240116_003,Structural Strain (A12),2024-01-16,190.04
STRAIN_20240116_004,Structural Strain (A12),2024-01-16,294.05
